doc_id,cleaned_text,bertopic_topic,bertopic_probability
301233586,fabulous spot noisy,37,0.5388705458057825
206734209,great location lovely miss new friend daphne doggie,-1,0.0
98251212,lovely weekend andrea place andrea place pictured sunny spacious importantly clean tidy far best experienced needed child friendly place young boy run freely back mel recommend anyone thumb andrea providing lovely place,-1,0.0
103672760,excellent room close cbd within free tram zone great view well maintained clean room host well accommodating let check close midday recommend,0,0.8769222703204375
140115225,duncan emily done amazing job private convenient granny flat accomodating left enjoy trip agin,-1,0.0
222138913,lindsay nice host make felt welcome home thanks,-1,0.0
350290791,hello guy really good location hungry going grab piazz kebab beautiful,6,0.6912353992491758
198266523,amazing place looking forward coming back staying recommend,-1,0.0
335315204,great place great locality helpful host,-1,0.0
250103808,,2,1.0
235806632,great place tucked away nice quiet comfortable,30,0.602221321260071
197229750,stuart carmel place absolutely amazing perfect partner really felt comfortable neat cosy cereal available even nespresso machine pod enjoyed availability wifi netflix taken surprise even find wall mounted dispensing unit filled shampoo conditioner body wash shower convenient forgot pack mine felt like hotel chose place,-1,0.0
295148132,lovely clean close south market tram,1,1.0
322332910,great place excellent location,48,0.7024590135109523
269764952,paul marco got pat got service sorted provide extra service loved place seemed like home great place great location run great cafe fitzrovia seamless simple superb word sum experience paul marco experience,-1,0.0
301815998,lovely house fast reply host ready reply query however problem parking premise luckily weekend parking free host gladly offered pay occured parking charge overall great host,-1,0.0
23301702,staying chris elle south yarra absolute delight chris elle responded email promptly helpful offering advice thing place eat beautiful spacious lovely view balcony bed sofa incredibly comfortable provided lovely shower gel lotion chapel street mere minute walk away train station close walk take approx ten minute get cbd welcoming guest finger tip recommend staying hit baby tivoli bakery incredible eats,-1,0.0
88473783,fantastic longer tennille move interstate feel extremely spacious spilt three level need live comfortably location ideal close train station right river made pleasant walk weekend lot cafe restaurant nearby tennille perfect host responded immediately question recommend staying anyone looking home away home,-1,0.0
231589203,good next southern cross station friendly fast contact nice flat,25,1.0
5605181,perfect place,-1,0.0
330691387,nice place great host really helpful,43,0.9514113313962628
92900906,thanks christian kate great two night staying place east conveniently located need clean fresh thanks,-1,0.0
104998864,julie david really good host room clean basic amenity hospitality exceptional continental breakfast provided good experienced rather comfortable friendly atmosphere proper attention given maintain privacy recommend julie david anyone plan trip around area,-1,0.0
49821374,experience magnificent stayed family teenage child husband fit comfortably clean well decorated complex pool sauna gym great hot day close across road huge shopping complex supermarket maaaany factory outlet door step public transport breeze considering tram stop around corner opposite major bus train stop tram stop within free tram zone meaning getting around city could easier however getting place take max half hour foot anyway veeeery lovely kind hearted flight home late evening let leave suitcase could spend one day arrived late night waited birthday smile face honestly felt like visiting friend rent around time year friendliest host ever conclude recommend sort traveller coming thank,-1,0.0
319248326,nadeen accomodating host great room wonderfull location close amazing book store cafe short walk tram ride city,60,0.9702950715352289
